"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Elements of Sequential Monte Carlo","C. A. Naesseth; F. Lindsten; T. B. Schön",NA; NA; NA,Elements of Sequential Monte Carlo,"","2019","","","","","A key strategy in machine learning is to break down a problem into smaller and more manageable parts, then process data or unknown variables recursively. Sequential Monte Carlo (SMC) is a technique for solving statistical inference problems recursively. Over the last 20 years, SMC has been developed to enabled inference in increasingly complex and challenging models in Signal Processing and Statistics. This monograph shows how the powerful technique can be applied to machine learning problems such as probabilistic programming, variational inference and inference evaluation to name a few. Written in a tutorial style, Elements of Sequential Monte Carlo introduces the basics of SMC, discusses practical issues, and reviews theoretical results before guiding the reader through a series of advanced topics to give a complete overview of the topic and its application to machine learning problems. This monograph provides an accessible treatment for researchers of a topic that has recently gained significant interest in the machine learning community.","","9781680836332","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=9051777.pdf&bkn=9051776&pdfType=book","","","","","","","","2 Apr 2020","","","now","Now Foundations and Trends Books"
"Fusion2Void: Unsupervised Multi-focus Image Fusion Based on Image Inpainting","H. Lin; Y. Lin; J. Xia; L. Fan; F. Li; Y. Wang; X. Ding","College of Electronic Science and Technology, National University of Defense Technology, Changsha, China; School of Informatics, Xiamen University, Xiamen, China; College of Electronic Science and Technology, National University of Defense Technology, Changsha, China; School of Informatics, Xiamen University, Xiamen, China; School of Informatics, Xiamen University, Xiamen, China; Key Laboratory of Multimedia Trusted Perception and Efficient Computing, Ministry of Education of China, Xiamen University, China; Key Laboratory of Multimedia Trusted Perception and Efficient Computing, Ministry of Education of China, Xiamen University, China",IEEE Transactions on Circuits and Systems for Video Technology,"","2024","PP","99","1","1","Multi-focus image fusion aims to integrate clear segments from different partially focused images, creating an ’all-in-focus’ composite. Due to the lack of ground-truth for multi-focus image fusion, supervised deep learning methods are deemed inappropriate for this task. In this paper, we present an unsupervised approach for multi-focus image fusion, named Fusion2Void. Fusion2Void ingeniously tackles the challenge of missing ground-truth by framing image inpainting as an auxiliary task. Specifically, Fusion2Void utilizes a fusion network to merge focused regions from multiple source images. Following the fusion process, image patches in the source images are randomly dropped to construct an additional image inpainting task. Subsequently, an image inpainting network uses the fused image as a guide to restore the missing content in the source images. The missing content in the source images includes both focused and defocused regions. Restoring focused image patches is significantly more challenging than restoring their defocused counterparts due to their inclusion of more high-frequency details. If the focused image patches are effectively restored, the repair of the defocused image patches becomes notably easier. Therefore, the image inpainting network implicitly compels the fused image to incorporate all focused content from the source images, as these can be utilized to restore the missing focused regions in the source images perfectly. Based on image inpainting, the fusion network generates ‘all-in-focus’ images in an unsupervised manner. Experiments on several synthetic and real-world datasets highlight Fusion2Void’s state-of-the-art performance relative to other methods.","1558-2205","","10.1109/TCSVT.2024.3502200","Fundamental Research Funds for the Central Universities(grant numbers:20720230104); Postdoctoral Fellowship Program of CPSF(grant numbers:GZC20233543); China Postdoctoral Science Foundation(grant numbers:2022M723914,2023M744322); National Natural Science Foundation of China(grant numbers:52105126,61971369,62201588,62271430,82172033,82272071,U19B2031); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10757430","Multi-focus image fusion;unsupervised;image inpainting;deep learning","Image fusion;Image restoration;Transforms;Circuits and systems;Kernel;Image segmentation;Image reconstruction;Discrete wavelet transforms;Deep learning;Visualization","","","","","IEEE","19 Nov 2024","","","IEEE","IEEE Early Access Articles"
"Rethinking Image Forgery Detection and Localization via Regression Perspective","L. Zhang; D. Li; Y. Zhong; J. Zhu; R. Wang; X. Wu; X. Wang; L. Liu","Hefei University of Technology, Hefei, China; University of Science and Technology of China, Hefei, China; Peking University, Beijing, China; University of Science and Technology of China, Hefei, China; University of Science and Technology of China, Hefei, China; Department of Data Science and Artificial Intelligence, The Hong Kong Polytechnic University (PolyU), Hong Kong SAR, China; Institute of Intelligent Machines, Chinese Academy Sciences, Hefei, China; Hefei University of Technology, Hefei, China",IEEE Transactions on Emerging Topics in Computational Intelligence,"","2025","PP","99","1","13","Image Forgery Detection and Localization is rapidly advancing in the field of computer vision. Most methods locate forged regions in the form of segmentation and subsequently perform detection, facing challenges such as false detections (i.e., FPs) and inaccurate boundaries. In this work, we suggest rethinking the Image Forgery Detection and Localization (IFDL) task from a regression perspective and propose the CatmullRom Splines-based Regression Network (CSR-Net) to address these issues. Specifically, we first design an adaptive CutmullRom splines fitting scheme to predict coarse forged regions. Subsequently, we develop a novel rescoring mechanism that filters out samples with no response in both the classification and instance branches to reduce false positives. Besides, a learnable texture extraction module decouples horizontal and vertical forgery features, extracting more robust contour representations to further refine boundaries and suppress false detections. Compared to segmentation-based methods our method is simple but effective due to the unnecessity of post-processing. Extensive experiments conducted on several challenging benchmarks demonstrate that our method outperforms state-of-the-art methods qualitatively and quantitatively. Particularly, CSR-Net achieves optimal performance on three real-world datasets, indicating the applicability of our method to real scenarios such as social media and multi-tampered regions.","2471-285X","","10.1109/TETCI.2025.3543837","National Natural Science Foundation of China(grant numbers:62302143); Anhui Provincial Natural Science Foundation(grant numbers:2308085QF207); National Key Research and Development Program of China(grant numbers:2021YFD2000201); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10910224","Image forgery;detection and localization;catmullrom splines;regression methods","Splines (mathematics);Forgery;Location awareness;Electronic mail;Image segmentation;Accuracy;Shape;Process control;Interpolation;Feature extraction","","","","","IEEE","5 Mar 2025","","","IEEE","IEEE Early Access Articles"
"Contents","J. -M. Guo; S. Sankarasrinivasan","Dept. of Electrical Engineering, National Taiwan University of Science and Technology, Taiwan; Dept. of Electrical Engineering, National Taiwan University of Science and Technology, Taiwan",2022 IEEE International Conference on Consumer Electronics - Taiwan,"1 Sep 2022","2022","","","1","644","Contents","2575-8284","978-1-6654-7050-6","10.1109/ICCE-Taiwan55306.2022.9869179","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9869179","","Integrated circuits;Sockets;Inspection;Estimation;Transforms;Laser beams;Surface emitting lasers","","","","","IEEE","1 Sep 2022","","","IEEE","IEEE Conferences"
"Continuous Testing, Quality, Security, and Feedback: Essential strategies and secure practices for DevOps, DevSecOps, and SRE transformations","M. Hornbeek; D. Wakeman",NA; NA,"Continuous Testing, Quality, Security, and Feedback: Essential strategies and secure practices for DevOps, DevSecOps, and SRE transformations","","2024","","","","","A step-by-step guide to developing high-quality, secure, and agile software using continuous testing and feedback strategies and toolsKey FeaturesGain insights from real-world use cases and experiences of an IEEE Outstanding Engineer and DevOps consultantImplement best practices for continuous testing strategies and tools, test designs, environments, results, and metricsLeverage AI/ML, implementation patterns, and performance measurement during software developmentBook DescriptionOrganizations struggle to integrate and execute continuous testing, quality, security, and feedback practices into their DevOps, DevSecOps, and SRE approaches to achieve successful digital transformations. This book addresses these challenges by embedding these critical practices into your software development lifecycle. Beginning with the foundational concepts, the book progresses to practical applications, helping you understand why these practices are crucial in today’s fast-paced software development landscape. You’ll discover continuous strategies to avoid the common pitfalls and streamline the quality, security, and feedback mechanisms within software development processes. You’ll explore planning, discovery, and benchmarking through systematic engineering approaches, tailored to organizational needs. You’ll learn how to select toolchains, integrating AI/ML for resilience, and implement real-world case studies to achieve operational excellence. You’ll learn how to create strategic roadmaps, aligned with digital transformation goals, and measure outcomes recognized by DORA. You’ll explore emerging trends that are reshaping continuous practices in software development. By the end of this book, you’ll have the knowledge and skills to drive continuous improvement across the software development lifecycle.What you will learnEnsure continuous testing, quality, security, and feedback in DevOps, DevSecOps, and SRE practicesApply capability maturity models, set goals, conduct discoveries, and set benchmarks for digital transformationsImplement and assess continuous improvement strategies with various tools and frameworksAvoid pitfalls and enhance user experience with gap assessments, value stream management, and roadmapsAdhere to proven engineering practices for software delivery and operationsStay on top of emerging trends in AI/ML and continuous improvementWho this book is forThis book is for software engineers, DevOps engineers, DevSecOps engineers, site reliability engineers, testers, QA professionals, and enterprise leaders looking to implement continuous testing, quality, security, and feedback for achieving efficiency, reliability, and success in digital transformations. Basic knowledge and experience in software development, testing, system design and system operations is a must.","","9781835085219","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10769387.pdf&bkn=10769386&pdfType=book","","","","","","","","27 Nov 2024","","","Packt Publishing","Packt Publishing eBooks"
"Dance2MIDI: Dance-driven multi-instrument music generation","B. Han; Y. Li; Y. Shen; Y. Ren; F. Han","College of Computer Science and Technology, Zhejiang University, Hangzhou 310058, China; College of Computer Science and Technology, Zhejiang University, Hangzhou 310058, China; National University of Singapore, Singapore 119077, Singapore; Speech & Audio Team, Bytedance AI Lab, Singapore 048583, Singapore; Department of Film and TV Technology, Beijing Film Academy, Beijing 100088, China",Computational Visual Media,"20 Feb 2025","2024","10","4","791","802","Dance-driven music generation aims to generate musical pieces conditioned on dance videos. Previous works focus on monophonic or raw audio generation, while the multi-instrument scenario is under-explored. The challenges associated with dance-driven multi-instrument music (MIDI) generation are twofold: (i) lack of a publicly available multi-instrument MIDI and video paired dataset and (ii) the weak correlation between music and video. To tackle these challenges, we have built the first multi-instrument MIDI and dance paired dataset (D2MIDI). Based on this dataset, we introduce a multi-instrument MIDI generation framework (Dance2MIDI) conditioned on dance video. Firstly, to capture the relationship between dance and music, we employ a graph convolutional network to encode the dance motion. This allows us to extract features related to dance movement and dance style. Secondly, to generate a harmonious rhythm, we utilize a transformer model to decode the drum track sequence, leveraging a cross-attention mechanism. Thirdly, we model the task of generating the remaining tracks based on the drum track as a sequence understanding and completion task. A BERT-like model is employed to comprehend the context of the entire music piece through self-supervised learning. We evaluate the music generated by our framework trained on the D2MIDI dataset and demonstrate that our method achieves state-of-the-art performance.","2096-0662","","10.1007/s41095-024-0417-1","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10897723","video understanding;music generation;symbolic music;cross-modal learning;self-supervision","Humanities;Music;Feature extraction;Rhythm;Instruments;Transformers;Generators;Noise;Correlation;Annotations","","","","","","20 Feb 2025","","","TUP","TUP Journals"
"Data Cleaning with Power BI: The definitive guide to transforming dirty data into actionable insights","G. Frazer",NA,Data Cleaning with Power BI: The definitive guide to transforming dirty data into actionable insights,"","2024","","","","","Unlock the full potential of your data by mastering the art of cleaning, preparing, and transforming data with Power BI for smarter insights and data visualizationsKey FeaturesImplement best practices for connecting, preparing, cleaning, and analyzing multiple sources of data using Power BIConduct exploratory data analysis (EDA) using DAX, PowerQuery, and the M languageApply your newfound knowledge to tackle common data challenges for visualizations in Power BIPurchase of the print or Kindle book includes a free PDF eBookBook DescriptionMicrosoft Power BI offers a range of powerful data cleaning and preparation options through tools such as DAX, Power Query, and the M language. However, despite its user-friendly interface, mastering it can be challenging. Whether you're a seasoned analyst or a novice exploring the potential of Power BI, this comprehensive guide equips you with techniques to transform raw data into a reliable foundation for insightful analysis and visualization. This book serves as a comprehensive guide to data cleaning, starting with data quality, common data challenges, and best practices for handling data. You’ll learn how to import and clean data with Query Editor and transform data using the M query language. As you advance, you’ll explore Power BI’s data modeling capabilities for efficient cleaning and establishing relationships. Later chapters cover best practices for using Power Automate for data cleaning and task automation. Finally, you’ll discover how OpenAI and ChatGPT can make data cleaning in Power BI easier. By the end of the book, you will have a comprehensive understanding of data cleaning concepts, techniques, and how to use Power BI and its tools for effective data preparation.What you will learnConnect to data sources using both import and DirectQuery optionsUse the Query Editor to apply data transformationsTransform your data using the M query languageDesign clean and optimized data models by creating relationships and DAX calculationsPerform exploratory data analysis using Power BIAddress the most common data challenges with best practicesExplore the benefits of using OpenAI, ChatGPT, and Microsoft Copilot for simplifying data cleaningWho this book is forIf you’re a data analyst, business intelligence professional, business analyst, data scientist, or anyone who works with data on a regular basis, this book is for you. It’s a useful resource for anyone who wants to gain a deeper understanding of data quality issues and best practices for data cleaning in Power BI. If you have a basic knowledge of BI tools and concepts, this book will help you advance your skills in Power BI.","","9781805126058","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10460895.pdf&bkn=10460894&pdfType=book","","","","","","","","6 Mar 2024","","","Packt Publishing","Packt Publishing eBooks"
"AutonoML: Towards an Integrated Framework for Autonomous Machine Learning","D. J. Kedziora; K. Musial; B. Gabrys",NA; NA; NA,AutonoML: Towards an Integrated Framework for Autonomous Machine Learning,"","2024","","","","","Over the last decade, the long-running endeavour to automate high-level processes in machine learning (ML) has risen to mainstream prominence. Beyond this, an even loftier goal is the pursuit of autonomy, which describes the capability of the system to independently adjust an ML solution over a lifetime of changing contexts. This monograph provides an expansive perspective on what constitutes an automated/autonomous ML system. In doing so, the authors survey developments in hyperparameter optimisation, multicomponent models, neural architecture search, automated feature engineering, meta-learning, multi-level ensembling, dynamic adaptation, multi-objective evaluation, resource constraints, flexible user involvement, and the principles of generalisation. Furthermore, they develop a conceptual framework throughout to illustrate one possible way of fusing high-level mechanisms into an autonomous ML system. This monograph lays the groundwork for students and researchers to understand the factors limiting architectural integration, without which the field of automated ML risks stifling both its technical advantages and general uptake.","","9781638283171","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10443868.pdf&bkn=10443867&pdfType=book","","","","","","","","23 Feb 2024","","","now","Now Foundations and Trends Books"
"Practical Automated Machine Learning Using H2O.ai: Discover the power of automated machine learning, from experimentation through to deployment to production","S. Ajgaonkar",NA,"Practical Automated Machine Learning Using H2O.ai: Discover the power of automated machine learning, from experimentation through to deployment to production","","2022","","","","","Accelerate the adoption of machine learning by automating away the complex parts of the ML pipeline using H2O.aiKey FeaturesLearn how to train the best models with a single click using H2O AutoMLGet a simple explanation of model performance using H2O ExplainabilityEasily deploy your trained models to production using H2O MOJO and POJOBook DescriptionWith the huge amount of data being generated over the internet and the benefits that Machine Learning (ML) predictions bring to businesses, ML implementation has become a low-hanging fruit that everyone is striving for. The complex mathematics behind it, however, can be discouraging for a lot of users. This is where H2O comes in – it automates various repetitive steps, and this encapsulation helps developers focus on results rather than handling complexities. You’ll begin by understanding how H2O’s AutoML simplifies the implementation of ML by providing a simple, easy-to-use interface to train and use ML models. Next, you’ll see how AutoML automates the entire process of training multiple models, optimizing their hyperparameters, as well as explaining their performance. As you advance, you’ll find out how to leverage a Plain Old Java Object (POJO) and Model Object, Optimized (MOJO) to deploy your models to production. Throughout this book, you’ll take a hands-on approach to implementation using H2O that’ll enable you to set up your ML systems in no time. By the end of this H2O book, you’ll be able to train and use your ML models using H2O AutoML, right from experimentation all the way to production without a single need to understand complex statistics or data science.What you will learnGet to grips with H2O AutoML and learn how to use itExplore the H2O Flow Web UIUnderstand how H2O AutoML trains the best models and automates hyperparameter optimizationFind out how H2O Explainability helps understand model performanceExplore H2O integration with scikit-learn, the Spring Framework, and Apache StormDiscover how to use H2O with Spark using H2O Sparkling WaterWho this book is forThis book is for engineers and data scientists who want to quickly adopt machine learning into their products without worrying about the internal intricacies of training ML models. If you're someone who wants to incorporate machine learning into your software system but don’t know where to start or don’t have much expertise in the domain of ML, then you’ll find this book useful. Basic knowledge of statistics and programming is beneficial. Some understanding of ML and Python will be helpful.","","9781801076357","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10162420.pdf&bkn=10162419&pdfType=book","","","","","","","","27 Jun 2023","","","Packt Publishing","Packt Publishing eBooks"
"A Unified Framework for Adversarial Patch Attacks against Visual 3D Object Detection in Autonomous Driving","J. Wang; F. Li; L. He","School of Information and Communications Engineering, Shaanxi Key Laboratory of Deep Space Exploration Intelligent Information Technology, Xi’ an Jiaotong University, Xi’ an, China; School of Information and Communications Engineering, Shaanxi Key Laboratory of Deep Space Exploration Intelligent Information Technology, Xi’ an Jiaotong University, Xi’ an, China; School of Information and Communications Engineering, Shaanxi Key Laboratory of Deep Space Exploration Intelligent Information Technology, Xi’ an Jiaotong University, Xi’ an, China",IEEE Transactions on Circuits and Systems for Video Technology,"","2025","PP","99","1","1","The rapid development of vision-based 3D perceptions, in conjunction with the inherent vulnerability of deep neural networks to adversarial examples, motivates us to investigate realistic adversarial attacks for the 3D detection models in autonomous driving scenarios. Due to the perspective transformation from 3D space to the image and object occlusion, current 2D image attacks are difficult to generalize to 3D detectors and are limited by physical feasibility. In this work, we propose a unified framework to generate physically printable adversarial patches with different attack goals: 1) instance-level hiding—pasting the learned patches to any target vehicle allows it to evade the detection process; 2) scene-level creating—placing the adversarial patch in the scene induces the detector to perceive plenty of fake objects. Both crafted patches are universal, which can take effect across a wide range of objects and scenes. To achieve above attacks, we first introduce the differentiable image-3D rendering algorithm that makes it possible to learn a patch located in 3D space. Then, two novel designs are devised to promote effective learning of patch content: 1) a Sparse Object Sampling Strategy is proposed to ensure that the rendered patches follow the perspective criterion and avoid being occluded during training, and 2) a Patch-Oriented Adversarial Optimization is used to facilitate the learning process focused on the patch areas. Both digital and physical-world experiments are conducted and demonstrate the effectiveness of our approaches, revealing potential threats when confronted with malicious attacks. We also investigate the defense strategy using adversarial augmentation to further improve the model’s robustness.","1558-2205","","10.1109/TCSVT.2025.3525725","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10824853","Adversarial attack;Universal patch;3D object detection;Defense","Three-dimensional printing;Detectors;Visualization;Rendering (computer graphics);Solid modeling;Optimization;Cameras;Autonomous vehicles;Perturbation methods;Training","","","","","IEEE","3 Jan 2025","","","IEEE","IEEE Early Access Articles"
"Cloud Observability with Azure Monitor: A practical guide to monitoring your Azure infrastructure and applications using industry best practices","J. Á. Fernández; M. L. Ramírez",NA; NA,Cloud Observability with Azure Monitor: A practical guide to monitoring your Azure infrastructure and applications using industry best practices,"","2024","","","","","Implement real-time monitoring, visualization, analytics, and troubleshooting strategies on Azure to ensure optimal performance and reliability in your cloud environmentKey FeaturesMonitor Azure-native, hybrid, and multi-cloud infrastructure effectivelyDesign proactive incident responses and visualization dashboards for configuring, optimizing, and monitoring dataImplement strategies for monitoring Azure applications using real-world case studiesPurchase of the print or Kindle book includes a free PDF eBookBook DescriptionCloud observability is complex and costly due to the use of hybrid and multi-cloud infrastructure as well as various Azure tools, hampering IT teams’ ability to monitor and analyze issues. The authors distill their years of experience with Microsoft to share the strategic insights and practical skills needed to optimize performance, ensure reliability, and navigate the dynamic landscape of observability on Azure. You’ll get an in-depth understanding of cloud observability and Azure Monitor basics, before getting to grips with the configuration and optimization of data sources and pipelines for effective monitoring. You’ll learn about advanced data analysis techniques using metrics and the Kusto Query Language (KQL) for your logs, design proactive incident response strategies with automated alerts, and visualize reports via dashboards. Using hands-on examples and best practices, you’ll explore the integration of Azure Monitor with Azure Arc and third-party tools, such as Datadog, Elastic Stack, or Dynatrace. You’ll also implement artificial intelligence for IT Operations (AIOps) and secure monitoring for hybrid and multi-cloud environments, aligned with emerging trends. By the end of this book, you’ll be able to develop robust and cost-optimized observability solutions for monitoring your Azure infrastructure and apps using Azure Monitor.What you will learnGet a holistic overview of cloud observability with Azure MonitorConfigure and optimize data sources to monitor Azure solutionsAnalyze logs and metrics using advanced data analysis techniques with KQLDesign proactive incident response strategies with automated alertsVisualize monitoring data through impactful dashboards and reportsExtend observability to hybrid and multi-cloud environments with Azure ArcBuild and implement monitoring solutions on Azure, aligned with industry standardsWho this book is forIf you're a seasoned cloud engineer, cloud architect, DevOps engineer, SRE, or an aspiring cloud practitioner eager to elevate your observability skills on Azure and implement monitoring strategies using Azure Monitor, then this book is for you. A basic understanding of Azure cloud services, cloud infrastructure management, and network virtualization will be helpful.","","9781835881194","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10769103.pdf&bkn=10769102&pdfType=book","","","","","","","","27 Nov 2024","","","Packt Publishing","Packt Publishing eBooks"
"Physics-based fluid simulation in computer graphics: Survey, research trends, and challenges","X. Wang; Y. Xu; S. Liu; B. Ren; J. Kosinka; A. C. Telea; J. Wang; C. Song; J. Chang; C. Li; J. J. Zhang; X. Ban","Beijing Advanced Innovation Center for Materials Genome Engineering, and School of Intelligence Science and Technology, and Shunde Innovation School University of Science and Technology Beijing, Beijing 100083, China; National Center for Computer Animation, Faculty of Media and Communication, Bournemouth University, Poole BH12 5BB, UK; Beijing Advanced Innovation Center for Materials Genome Engineering, and School of Intelligence Science and Technology, and Shunde Innovation School University of Science and Technology Beijing, Beijing 100083, China; Bernoulli Institute, University of Groningen, Groningen 9700 AK, the Netherlands; Beijing Advanced Innovation Center for Materials Genome Engineering, and School of Intelligence Science and Technology, and Shunde Innovation School University of Science and Technology Beijing, Beijing 100083, China; School of Computer Science, Peking University, Beijing 100871, China; TMCC, College of Computer Science, Nankai University, Tianjin 300350, China; Bernoulli Institute, University of Groningen, Groningen 9700 AK, the Netherlands; Department of Information and Computing Sciences, Utrecht University, Utrecht 3584 CC, the Netherlands; Beijing Advanced Innovation Center for Materials Genome Engineering, and School of Intelligence Science and Technology, and Shunde Innovation School University of Science and Technology Beijing, Beijing 100083, China; Beijing Advanced Innovation Center for Materials Genome Engineering, and School of Intelligence Science and Technology, and Shunde Innovation School University of Science and Technology Beijing, Beijing 100083, China; National Center for Computer Animation, Faculty of Media and Communication, Bournemouth University, Poole BH12 5BB, UK; Zienkiewicz Institute for Modelling, Data and AI, Swansea University, Swansea SA1 8EN, UK; National Center for Computer Animation, Faculty of Media and Communication, Bournemouth University, Poole BH12 5BB, UK; Beijing Advanced Innovation Center for Materials Genome Engineering, and School of Intelligence Science and Technology, and Shunde Innovation School University of Science and Technology Beijing, Beijing 100083, China; Institute of Materials Intelligent Technology, Liaoning Academy of Materials, Shenyang 110004, China",Computational Visual Media,"13 Feb 2025","2024","10","5","803","858","Physics-based fluid simulation has played an increasingly important role in the computer graphics community. Recent methods in this area have greatly improved the generation of complex visual effects and its computational efficiency. Novel techniques have emerged to deal with complex boundaries, multiphase fluids, gas-liquid interfaces, and fine details. The parallel use of machine learning, image processing, and fluid control technologies has brought many interesting and novel research perspectives. In this survey, we provide an introduction to theoretical concepts underpinning physics-based fluid simulation and their practical implementation, with the aim for it to serve as a guide for both newcomers and seasoned researchers to explore the field of physics-based fluid simulation, with a focus on developments in the last decade. Driven by the distribution of recent publications in the field, we structure our survey to cover physical background; discretization approaches; computational methods that address scalability; fluid interactions with other materials and interfaces; and methods for expressive aspects of surface detail and control. From a practical perspective, we give an overview of existing implementations available for the above methods.","2096-0662","","10.1007/s41095-023-0368-y","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10885003","computer graphics;physical simulation;fluid simulation;fluid coupling","Surveys;Mathematical models;Fluids;Computer graphics;Graphics;Market research;Computational modeling;Vectors;Tensors;Media","","","","","","13 Feb 2025","","","TUP","TUP Journals"
"Enhancing Deep Learning with Bayesian Inference: Create more powerful, robust deep learning systems with Bayesian deep learning in Python","M. Benatan; J. Gietema; M. Schneider",NA; NA; NA,"Enhancing Deep Learning with Bayesian Inference: Create more powerful, robust deep learning systems with Bayesian deep learning in Python","","2023","","","","","Develop Bayesian Deep Learning models to help make your own applications more robust.Key FeaturesGain insights into the limitations of typical neural networksAcquire the skill to cultivate neural networks capable of estimating uncertaintyDiscover how to leverage uncertainty to develop more robust machine learning systemsBook DescriptionDeep learning has an increasingly significant impact on our lives, from suggesting content to playing a key role in mission- and safety-critical applications. As the influence of these algorithms grows, so does the concern for the safety and robustness of the systems which rely on them. Simply put, typical deep learning methods do not know when they don’t know. The field of Bayesian Deep Learning contains a range of methods for approximate Bayesian inference with deep networks. These methods help to improve the robustness of deep learning systems as they tell us how confident they are in their predictions, allowing us to take more care in how we incorporate model predictions within our applications. Through this book, you will be introduced to the rapidly growing field of uncertainty-aware deep learning, developing an understanding of the importance of uncertainty estimation in robust machine learning systems. You will learn about a variety of popular Bayesian Deep Learning methods, and how to implement these through practical Python examples covering a range of application scenarios. By the end of the book, you will have a good understanding of Bayesian Deep Learning and its advantages, and you will be able to develop Bayesian Deep Learning models for safer, more robust deep learning systems.What you will learnUnderstand advantages and disadvantages of Bayesian inference and deep learningUnderstand the fundamentals of Bayesian Neural NetworksUnderstand the differences between key BNN implementations/approximationsUnderstand the advantages of probabilistic DNNs in production contextsHow to implement a variety of BDL methods in Python codeHow to apply BDL methods to real-world problemsUnderstand how to evaluate BDL methods and choose the best method for a given taskLearn how to deal with unexpected data in real-world deep learning applicationsWho this book is forThis book will cater to researchers and developers looking for ways to develop more robust deep learning models through probabilistic deep learning. You’re expected to have a solid understanding of the fundamentals of machine learning and probability, along with prior experience working with machine learning and deep learning models.","","9781803237251","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10251214.pdf&bkn=10251213&pdfType=book","","","","","","","","14 Sep 2023","","","Packt Publishing","Packt Publishing eBooks"
"Computational Imaging Through Atmospheric Turbulence","S. H. Chan; N. Chimitt","Purdue University, USA; Purdue University, USA",Computational Imaging Through Atmospheric Turbulence,"","2023","","","","","Since the seminal work of Andrey Kolmogorov in the early 1940’s, imaging through atmospheric turbulence has grown from a pure scientific pursuit to an important subject across a multitude of civilian, space-mission, and national security applications. Fueled by the recent advancement of deep learning, the field is further experiencing a new wave of momentum. However, for these deep learning methods to perform well, new efforts are needed to build faster and more accurate computational models while at the same time maximizing the performance of image reconstruction. The goal of this book is to present the basic concepts of turbulence physics while accomplishing the goal of image reconstruction. Starting with an exploration of optical modeling and computational imaging in Chapter 1, the book continues to Chapter 2, discussing the essential optical foundations required for the subsequent chapters. Chapter 3 introduces a statistical model elucidating atmospheric conditions and the propagation of waves through it. The practical implementation of the Zernike-based simulation is discussed in Chapter 4, paving the way for the machine learning solutions to reconstruction in Chapter 5. In this concluding chapter, classical and contemporary trends in turbulence mitigation are discussed, providing readers with a comprehensive understanding of the field's evolution and a sense of its direction. The book is written primarily for image processing engineers, computer vision scientists, and engineering students who are interested in the field of atmospheric turbulence, statistical optics, and image processing. The book can be used as a graduate text, or advanced topic classes for undergraduates.","","9781638281719","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10304097.pdf&bkn=10304096&pdfType=book","","","","","","","","1 Nov 2023","","","now","Now Foundations and Trends Books"
